name,rating,price,link
"WD_BLACK SN850 500GB NVMe Internal Gaming SSD; PCIe Gen4 Technology, up to 7000 MB/s read speeds, M.2 2280",4.6 ,108.41,http://www.amazon.co.uk/WD_BLACK-Internal-Gaming-Technology-speeds/dp/B08KFN1KT1/ref=sr_1_73?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-73
ASENNO 240GB 250GB 256GB 2.5 Inch SSD With 256M Cache SATAIII 6GB/s Internal Solid State Hard Drive for Notebook Tablet Desktop PC,4.6 ,N/A,http://www.amazon.co.uk/ASENNO-SATAIII-Internal-Notebook-Desktop/dp/B07V9RK93Y/ref=sr_1_74?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-74
"WD_BLACK SN750 500GB High-Performance NVMe Internal Gaming SSD, with Heatsink",4.8 ,60.65,http://www.amazon.co.uk/Black-High-Performance-Internal-Gaming-Heatsink/dp/B07MC2Q81D/ref=sr_1_76?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-76
KEIBODETRD NGFF M.2 NVME SSD Adapter Card for Laptop,N/A,N/A,http://www.amazon.co.uk/KEIBODETRD-NGFF-NVME-Adapter-Laptop-Black/dp/B07TKLGJB9/ref=sr_1_77?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-77
Kingston NV1 NVMe PCIe SSD 500GB M.2 2280 - SNVS/500G,N/A,44.49,http://www.amazon.co.uk/Kingston-NVMe-PCIe-500GB-2280/dp/B091BCQK7B/ref=sr_1_78?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-78
"WD Blue WDS250G1B0A 250 GB Internal SSD Solid State Drive, SATA 6 GB/s 2.5 Inch",4.9 ,90.26,http://www.amazon.co.uk/WDS250G1B0A-Internal-Solid-State-Drive/dp/B01LXDQX35/ref=sr_1_79?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-79
"OWC 1.0TB Aura Pro X2 SSD Complete Upgrade Solution for Mac Pro (Late 2013), High performance NVMe flash upgrade, including tools, heatsink, and Envoy Pro Enclosure (OWCS3DAPT4MP10K)",4.1 ,308.50,http://www.amazon.co.uk/OWC-Aura-Upgrade-Late-2013/dp/B07QBR1TP9/ref=sr_1_81?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-81
"WD_BLACK SN850 1TB NVMe Internal Gaming SSD; PCIe Gen4 Technology, up to 7000 MB/s read speeds, M.2 2280, with Heatsink",N/A,N/A,http://www.amazon.co.uk/WD_BLACK-Internal-Gaming-Technology-Heatsink/dp/B08PHSVW7K/ref=sr_1_82?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-82
Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR1000400),4.8 ,N/A,http://www.amazon.co.uk/Seagate-Storage-Expansion-Solid-State/dp/B08K3S6WJM/ref=sr_1_83?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-83
WD_BLACK SN750 500GB High-Performance NVMe Internal Gaming SSD,4.8 ,58.49,http://www.amazon.co.uk/Black-SN750-High-Performance-Internal-Gaming/dp/B07MH2P5ZD/ref=sr_1_84?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-84
PNY CS900 960GB 2.5” SATA III Internal Solid State Drive (SSD) - (SSD7CS900-960-RB),4.7 ,67.20,http://www.amazon.co.uk/PNY-CS900-960GB-Internal-Solid/dp/B078YM2YX9/ref=sr_1_83?dchild=1&keywords=ssd+1tb&qid=1623945339&sr=8-83
Samsung MZ-N6E1T0BW 860 EVO 1 TB M.2 SATA Internal SSD,4.8 ,N/A,http://www.amazon.co.uk/Samsung-MZ-N6E1T0BW-Internal-SSD-SATA/dp/B07822Z77M/ref=sr_1_84?dchild=1&keywords=ssd+1tb&qid=1623945339&sr=8-84
"Lexar Professional NM700 M.2 2280 PCIe NVMe 256GB SSD, Gaming, Up To 3500MB/s (LNM700-256RB)",4.7 ,68.09,http://www.amazon.co.uk/Lexar-Professional-Gaming-3500MB-LNM700-256RB/dp/B086HQX7SD/ref=sr_1_85?dchild=1&keywords=ssd+1tb&qid=1623945339&sr=8-85
"SSD SATA mSATA 32GB Shark Internal Solid State Drive High Performance Hard Drive for Desktop Laptop SATA III 6Gb/s Includes SSD 16GB 60GB 64GB 120GB 128GB 240GB 250GB 480GB 500GB (32GB, MSATA)",4.4 ,16.79,http://www.amazon.co.uk/mSATA-Internal-Performance-Desktop-Laptop/dp/B07NL488B1/ref=sr_1_86?dchild=1&keywords=ssd+1tb&qid=1623945339&sr=8-86
